2600 Douglas Rd. SE
1 DC Village Lane SW
1020 Florida Ave. NE
1060 47th St. NE
1100 Dahlia St. NW
1103 Morse St. NE
1103 Varney St. SE
111 Varnum St. NW
1119 Chicago St. SE
1120 Trenton Pl. SE
1121 Oates St. NE
1212 Trenton Pl. SE
1213 Independence Ave. SE
1214 Congress St. SE
1217 Congress St. SE
1218 Missouri Ave. NW
1222 Congress St. SE
1222 Trenton Pl. SE
1230 Congress St. SE
1264 Talbert St. SE
1275 Meigs Pl. NE
1280 Holbrook Terrace NE
1303 Congress St. SE
131 36th St. NE
1339 Randolph St. NW
1341 Montague St. NW
1345 Quincy St. NW
1348 Kennedy St. NW
136 36th St. NE
1406 Shepherd St. NW
1410 Perry Pl. NW
142 42nd Street NE
1422 Shepherd St. NW
1428 Perry Pl. NW
1435 Sheridan St. NW
1449 S St. NW
1491 Morris Rd. SE
1505 Gales St. NE
1507 Isherwood St. NE
1520 Spring Place NW
1524 Trinidad Ave. NE
1531 D St. NE
154 36th St. NE
1608 Isherwood St. NE
1614 R St. SE
1615 Morris Rd. SE
1650 Kenilworth Ave. NE
1653 Trinidad Ave NE
1728 W St. SE
1822 Bruce Pl. SE
1834 Kendall St. NE
1862 Kendall St. NE
1863 Providence St. NE
1905 E St. SE
1909 Frederick Douglass Ct. SE
1912 Savannah Terrace SE
20 Crittenden Street NE
200 55th St. NE
208 36th St. NE
2103 H St. NE
211 Oglethorpe St. NE
211 Webster St. NW
2111 18th St. SE
2115 4th St. NE
2116 Savannah Terrace SE
2118 Ridgecrest Ct. SE
2125 4th St. NE
2160 Queens Chapel Rd. NE
2200 Adams Pl. NE
2210 5th St. NE
2215 Adams Pl. NE
225 Rhode Island Ave. NE
2301 Pitts Pl. SE
2310 Ainger Pl. SE
2315 Lincoln Rd. NE
234 35th St. NE
2402 Elvans Rd. SE
2404 10th St NE
2404 Elvans Rd. SE
2410 18th St. SE
2414 Elvans Rd. SE
2417 17th St SE
2418 3rd St. NE
2440 Elvans Rd. SE
2549 Elvans Rd. SE
2600 Douglas Rd SE
2719 11th Street NW
2729 Central Ave. NE
2816 30th St. NE
2853 Monroe St. NE
2900 7th St. SE
300 37th St. SE
308 Upshur Street NW
3110 Massachusetts Ave. SE
3125 Mt. Pleasant St. NW
314 Upshur St. NW
3141 Buena Vista Terrace SE
3168 Berry Rd. NE
317 Decatur St. NW
3200 16th St. NW
330 Delafield Pl. NW
3304 Banneker Dr. NE
3322 Wheeler Rd. SE
3324 Wheeler Road SE
3325 13th St SE 
3330 22nd St. SE
3334 17th St. NW
3340 22nd St. SE
3500 Clay Pl. NE
3505 Ames Pl. NE
3513 New Hampshire Ave. NW
3634 10th Street NW
3649 6th St. SE
3726 9th St. NW
3760 Minnesota Ave. NE
3812 8th St. NW
3829 14th Street NW
3831 14th St. NW
3833 14th St. NW
3910 New Hampshire Ave NW
3928 New Hampshire Ave. NW
3934 New Hampshire Ave. NW
3rd and Oglethorpe St. NW
4011 Clay Pl. NE
403 Decatur St. NW
4104 4th St. NW
4211 Fort Dupont Terrace SE
4259 Nash St. NE
434 Longfellow St. NW
4612 Lee St. NE 
4724 Jay St. NE
4769 S Capitol Terrace SW
4817 North Capitol Street NE
4818 Fort Totten Dr. NE
4829 4th St. NW
4915 Ayers Pl. SE
5040 Call Pl. SE
513 Peabody St. NE
515 Kennedy St. NW
515 V St. NW
525 Ingraham Street NW
532 Tennessee Ave. NE
5320 8th St. NW
5361 Blaine St. NE
5405 Georgia Ave. NW
5420 9th St. NW
5524 8th Street NW
5537 Illinois Ave. NW
556 25th Pl. NE
5611 7th St. NW
5700 8th Street NW
5710 8th St. NW
5714 Georgia Ave. NW
5722 8th St. NW
5727 9th St. NW
5806 Georgia Ave. NW
5810 Georgia Ave. NW
606 17th St. NE
6115 2nd St. NW
617 Longfellow St. NW
620 Kenyon Street NW
620 Oneida St. NE
6306 Kansas Ave NE
6310 Kansas Ave. NW
634 Taylor St. NE
639 Longfellow Street NW
641 Ingraham Street NW
6428 Eastern Ave. NE
650 Howard Rd. SE
6509 North Capitol St. NW
66 Farragut Place NW
7 Grant Circle NW
701 24th St. NE
711 24th Pl. NE
715 Longfellow St. NW
716 Bayley Pl. NE
717 Croissant Pl. SE
720 Farragut St. NW
723 Croissant Pl. SE
726 Maryland Ave. NE
727 16th St. NE
751 Fairmont St. NW
811 Jefferson St. NW
813 Madison St. NW
816 I St. NE
850 Quincy St. NW
863 21st St. NE
900 Kennedy St. NW
918 Longfellow St. NW
927 Mt. Olivet Rd. NE
930 Longfellow St. NW
932 Longfellow St. NW
936 Quincy St. NW
938 Longfellow St. NW
941 Randolph St. NW
945 Randolph St. NW
976 Mount Olivet Rd. NE
